date,costA,QA,costC,costB,cons_err
2025-02-01,44016.90959114,0.0,51718.325553079165,78636.09424339,2.431647594043228
2025-02-02,85307.91371380104,9543.077877366257,83606.2646762875,157468.69559646503,0.14933429271874488
2025-02-03,81548.1861425779,7563.381890833331,85197.53244298248,80107.851490955,0.1896481158043015
2025-02-04,83347.34628055498,7601.017849999997,87181.852921565,136398.55977852,0.21131715369856183
2025-02-05,87338.48277883517,9830.9922600823,85481.68585042417,176760.29219224,0.14348357415174162
2025-02-06,84625.73352360833,8011.243099999998,86122.5319084925,208863.77577474003,0.24792661494040377
2025-02-07,46321.706165940006,0.0,51770.800483729996,80896.847218455,2.987538013526257
2025-02-08,38417.99966357,0.0,48936.58191320166,77750.8258133,2.2853677523941753
2025-02-09,87017.56042580974,10512.191571604933,83937.2256605825,91647.44357717,0.13300322274377302
2025-02-10,75524.69298077334,7572.280466666666,80064.83890019334,76858.018461665,0.16219953006938734
2025-02-11,86105.611677728,9816.461705333333,82657.85548984334,89940.66075745501,0.22057805118236484
2025-02-12,78005.64572411166,7902.066299999999,81543.49110641833,80821.678548065,0.15861930640262129
2025-02-13,75844.49012272486,8677.885201646086,77265.37889285582,79367.69068276,0.14251600226364836
2025-02-14,40850.568886990004,0.0,47518.45177176749,76010.99999543499,2.782203722262001
2025-02-15,39138.49260553,0.0,48495.65329588833,71123.75323262501,2.7055364857438833
2025-02-16,86585.820729445,10439.287566666664,81478.38444954582,69501.79588882001,0.14802496765081435
2025-02-17,71542.15004714683,6623.266840740738,77296.35666682916,72161.67656274501,0.24963273372878544
2025-02-18,83604.12319969629,12588.789426835388,76445.52079121166,73652.37932534501,0.13366406753652466
2025-02-19,87121.30072168334,13005.160222222225,78963.18111045915,73891.36682500501,0.12869576307230268
2025-02-20,76475.56319962001,8734.641833333335,76933.81716519332,72052.38559085,0.15043006667753198
2025-02-21,37978.218903639994,0.0,46212.67324545416,74191.93261825,3.236798043850293
2025-02-22,37171.108220480004,0.0,46596.537431958335,71156.00346761,2.7041018836183657
2025-02-23,84699.90377162889,12391.227175925926,76797.91788297417,69479.910581175,0.1252112226085215
2025-02-24,74706.39431242642,9802.161917695474,74070.33554291417,70933.96947755,0.1646506194919436
2025-02-25,66910.48871829174,6532.731271166666,73504.65737481165,68313.53847026499,0.217611168733622
2025-02-26,82371.86580704298,14275.611251999995,73057.65828294333,70834.92359246,0.13205234301520646
2025-02-27,78917.54602335396,11687.190430436207,74579.89431619916,70279.43328785,0.15154960155441635
2025-02-28,35417.561061960005,0.0,44888.91552759334,70723.27814837999,3.2936613708997515
2025-03-01,39440.72858553,0.0,46003.67527750916,69959.85918898,3.907960819019804
