day,grid_h,lp_cost,dp_cost,gap_pct
附件1典型日,120.0,35126.84858928963,35774.34450555999,1.8433077326150602
附件1典型日,60.0,35126.84858928963,35456.237416561664,0.9377124350758539
附件1典型日,30.0,35126.84858928963,35336.03493137668,0.5955169634853965
附件1典型日,15.0,35126.84858928963,35232.739126478344,0.3014518564611641
2025-01-01,15.0,61831.2374,61963.474,0.2138669356477913
2025-01-02,15.0,62567.0939,62693.7202,0.20238470590769445
2025-01-03,15.0,25862.4685,25943.9556,0.3150788634005176
2025-01-04,15.0,25639.8238,25716.5038,0.29906587544918184
2025-01-05,15.0,61321.1768,61446.7052,0.20470645473283888
2025-01-06,15.0,61015.3399,61141.5627,0.20687061535310178
2025-01-07,15.0,62240.0451,62365.4856,0.20154309061395023
2025-01-08,15.0,60261.0379,60381.7717,0.20035135417496183
2025-01-09,15.0,61314.8834,61440.1639,0.2043233020238877
2025-01-10,15.0,25846.7293,25933.3777,0.3352393056358954
2025-01-11,15.0,25510.0466,25604.5279,0.3703688938969304
2025-01-12,15.0,60962.8759,61084.7629,0.19993654395648522
2025-01-13,15.0,58970.8173,59091.592,0.2048041108427499
2025-01-14,15.0,59869.5133,59997.149,0.21318992500792203
2025-01-15,15.0,60703.1244,60836.8493,0.2202932972608658
2025-01-16,15.0,59957.5249,60089.6822,0.2204182902310005
2025-01-17,15.0,24151.3771,24254.81,0.42826924956417667
2025-01-18,15.0,24499.8844,24583.2519,0.34027713261898934
2025-01-19,15.0,59612.757,59732.9363,0.20160003361600104
2025-01-20,15.0,59135.7392,59269.0876,0.2254955086370167
2025-01-21,15.0,55655.0634,55774.7357,0.21502503825342428
2025-01-22,15.0,59593.8063,59726.2175,0.22218949440203883
2025-01-23,15.0,59914.4485,60037.4457,0.20528806929791826
2025-01-24,15.0,22620.3214,22726.6219,0.46993357947761005
2025-01-25,15.0,22026.2902,22136.1405,0.49872363401608155
2025-01-26,15.0,58372.7314,58505.6021,0.22762464705142654
2025-01-27,15.0,55801.2087,55925.9711,0.22358360451030282
2025-01-28,15.0,57923.8458,58042.6228,0.2050570516032863
2025-01-29,15.0,53531.9545,53650.5469,0.22153572124360357
2025-01-30,15.0,55826.7783,55972.3097,0.2606839419223318
