date,plan_fee,emerg_fee,total
2025-01-01,32909.77,133530.06,166439.82
2025-01-02,61903.69,5758.79,67662.48
2025-01-03,62678.88,0.0,62678.88
2025-01-04,62678.88,0.0,62678.88
2025-01-05,62678.88,494.03,63172.91
2025-01-06,62689.4,1327.65,64017.05
2025-01-07,62708.34,1574.61,64282.95
2025-01-08,62781.75,150.16,62931.91
2025-01-09,62782.78,0.0,62782.78
2025-01-10,62782.78,0.0,62782.78
2025-01-11,62782.78,0.0,62782.78
2025-01-12,62775.7,0.0,62775.7
2025-01-13,62692.11,0.0,62692.11
2025-01-14,62782.78,61.85,62844.62
2025-01-15,62756.89,445.83,63202.72
2025-01-16,62685.72,391.65,63077.37
2025-01-17,62779.06,0.0,62779.06
2025-01-18,61819.95,0.0,61819.95
2025-01-19,61819.95,22.09,61842.04
2025-01-20,62552.19,23.81,62576.01
2025-01-21,62542.18,0.0,62542.18
2025-01-22,62503.99,239.19,62743.18
2025-01-23,61590.99,0.0,61590.99
2025-01-24,61529.28,0.0,61529.28
2025-01-25,60599.76,0.0,60599.76
2025-01-26,60975.62,0.0,60975.62
2025-01-27,61312.55,9.95,61322.51
2025-01-28,60598.85,56.21,60655.06
2025-01-29,60968.35,0.0,60968.35
2025-01-30,60595.64,119.11,60714.75
2025-01-31,60510.79,0.0,60510.79
2025-02-01,60324.15,0.0,60324.15
2025-02-02,60048.65,0.0,60048.65
2025-02-03,60265.48,0.0,60265.48
2025-02-04,60158.1,0.0,60158.1
2025-02-05,59802.41,0.0,59802.41
2025-02-06,60139.17,0.0,60139.17
2025-02-07,60050.32,0.0,60050.32
2025-02-08,58236.97,0.0,58236.97
2025-02-09,58236.97,0.0,58236.97
2025-02-10,58500.74,0.0,58500.74
2025-02-11,58074.44,0.0,58074.44
2025-02-12,57998.06,0.0,57998.06
2025-02-13,54279.89,5.32,54285.21
2025-02-14,55900.0,0.0,55900.0
2025-02-15,54134.26,0.0,54134.26
2025-02-16,54130.63,11.81,54142.45
2025-02-17,54133.05,84.64,54217.69
2025-02-18,53769.82,0.0,53769.82
2025-02-19,53741.83,864.19,54606.02
2025-02-20,52652.15,72.72,52724.87
2025-02-21,52523.25,0.0,52523.25
2025-02-22,52603.51,0.0,52603.51
2025-02-23,49874.19,0.0,49874.19
2025-02-24,52521.8,57.0,52578.8
2025-02-25,49587.66,80.86,49668.52
2025-02-26,49764.66,0.0,49764.66
2025-02-27,49830.85,0.0,49830.85
2025-02-28,49507.96,0.0,49507.96
2025-03-01,47873.87,0.0,47873.87
2025-03-02,47902.46,4631.45,52533.91
2025-03-03,49734.9,16.23,49751.13
2025-03-04,48134.29,0.0,48134.29
2025-03-05,48263.76,0.0,48263.76
2025-03-06,48263.24,0.0,48263.24
2025-03-07,47635.97,0.0,47635.97
2025-03-08,47809.25,0.0,47809.25
2025-03-09,47616.83,5.8,47622.63
2025-03-10,47509.7,427.0,47936.7
2025-03-11,47534.42,0.0,47534.42
2025-03-12,47581.72,127.29,47709.02
2025-03-13,47522.98,466.56,47989.54
2025-03-14,45309.35,0.0,45309.35
2025-03-15,47356.02,0.0,47356.02
2025-03-16,47565.8,0.0,47565.8
2025-03-17,47565.51,185.03,47750.54
2025-03-18,47212.61,0.0,47212.61
2025-03-19,43719.32,0.0,43719.32
2025-03-20,43652.33,197.39,43849.71
2025-03-21,43927.41,0.0,43927.41
2025-03-22,43839.12,0.0,43839.12
2025-03-23,43765.82,0.0,43765.82
2025-03-24,43839.12,0.0,43839.12
2025-03-25,43837.36,70.99,43908.35
2025-03-26,41026.87,0.0,41026.87
2025-03-27,43479.37,0.0,43479.37
2025-03-28,40270.17,0.0,40270.17
2025-03-29,40836.54,0.0,40836.54
2025-03-30,40788.41,0.0,40788.41
2025-03-31,40796.61,0.0,40796.61
2025-04-01,39608.27,121.22,39729.49
2025-04-02,39565.03,551.38,40116.42
2025-04-03,40231.04,97.95,40328.99
2025-04-04,40241.2,0.0,40241.2
2025-04-05,39110.94,0.0,39110.94
2025-04-06,39110.93,151.71,39262.63
2025-04-07,38906.12,0.0,38906.12
2025-04-08,39088.14,85.94,39174.08
2025-04-09,39255.9,0.0,39255.9
2025-04-10,38918.94,121.62,39040.55
2025-04-11,38428.97,0.0,38428.97
2025-04-12,38855.63,0.0,38855.63
2025-04-13,38841.86,0.0,38841.86
2025-04-14,38243.08,4.1,38247.18
2025-04-15,38855.66,3.13,38858.79
2025-04-16,38090.07,26.0,38116.06
2025-04-17,38708.12,5.91,38714.03
2025-04-18,36112.9,0.0,36112.9
2025-04-19,37579.3,0.0,37579.3
2025-04-20,37577.25,0.0,37577.25
2025-04-21,37577.98,0.0,37577.98
2025-04-22,37566.85,0.0,37566.85
2025-04-23,37513.33,0.0,37513.33
2025-04-24,37513.38,0.0,37513.38
2025-04-25,35682.66,0.0,35682.66
2025-04-26,35363.14,0.0,35363.14
2025-04-27,35430.45,0.0,35430.45
2025-04-28,35421.87,2849.81,38271.67
2025-04-29,35669.49,0.0,35669.49
2025-04-30,35777.08,0.0,35777.08
2025-05-01,35777.08,11449.66,47226.73
2025-05-02,33470.84,0.0,33470.84
2025-05-03,35105.08,0.0,35105.08
2025-05-04,37155.24,659.75,37814.99
2025-05-05,34264.38,8982.07,43246.45
2025-05-06,37156.26,436.25,37592.51
2025-05-07,37156.79,2749.66,39906.45
2025-05-08,37240.7,406.0,37646.71
2025-05-09,37156.79,0.0,37156.79
2025-05-10,36345.19,0.0,36345.19
2025-05-11,37222.93,599.05,37821.98
2025-05-12,36700.94,6.33,36707.27
2025-05-13,36608.32,139.76,36748.08
2025-05-14,36609.64,68.61,36678.26
2025-05-15,36581.79,80.03,36661.82
2025-05-16,36391.82,0.0,36391.82
2025-05-17,36547.95,0.0,36547.95
2025-05-18,36548.59,37.49,36586.07
2025-05-19,36547.44,477.22,37024.65
2025-05-20,36394.17,313.15,36707.33
2025-05-21,36552.63,18.16,36570.79
2025-05-22,36554.89,0.0,36554.89
2025-05-23,36222.82,0.0,36222.82
2025-05-24,36004.04,0.0,36004.04
2025-05-25,35462.95,0.0,35462.95
2025-05-26,36008.37,0.0,36008.37
2025-05-27,35518.14,37.85,35555.99
2025-05-28,35551.09,135.48,35686.57
2025-05-29,35421.71,1403.09,36824.8
2025-05-30,35529.36,0.0,35529.36
2025-05-31,35462.85,0.0,35462.85
2025-06-01,35545.13,52919.8,88464.93
2025-06-02,35546.33,48467.31,84013.64
2025-06-03,46538.54,2427.7,48966.24
2025-06-04,46128.3,1365.78,47494.08
2025-06-05,46598.72,3447.48,50046.2
2025-06-06,46672.07,0.0,46672.07
2025-06-07,46566.33,0.0,46566.33
2025-06-08,46727.13,138.8,46865.93
2025-06-09,46728.71,2173.03,48901.74
2025-06-10,46680.16,2204.54,48884.7
2025-06-11,47023.74,19212.52,66236.25
2025-06-12,46867.86,6988.34,53856.2
2025-06-13,48036.07,0.0,48036.07
2025-06-14,50634.11,0.0,50634.11
2025-06-15,47242.86,0.0,47242.86
2025-06-16,50625.16,0.0,50625.16
2025-06-17,50630.37,3166.8,53797.18
2025-06-18,48254.6,0.0,48254.6
2025-06-19,50604.91,299.85,50904.76
2025-06-20,50683.28,0.0,50683.28
2025-06-21,49345.53,0.0,49345.53
2025-06-22,50680.69,0.0,50680.69
2025-06-23,50674.51,44.37,50718.88
2025-06-24,50621.35,2273.63,52894.98
2025-06-25,50825.6,94.08,50919.69
2025-06-26,50826.95,278.33,51105.28
2025-06-27,49293.7,0.0,49293.7
2025-06-28,50586.99,0.0,50586.99
2025-06-29,50267.52,0.0,50267.52
2025-06-30,50586.99,251.3,50838.29
2025-07-01,49249.29,24069.33,73318.62
2025-07-02,52739.48,1756.62,54496.1
2025-07-03,52704.46,4874.43,57578.89
2025-07-04,51956.91,0.0,51956.91
2025-07-05,52881.96,0.0,52881.96
2025-07-06,52757.26,8416.53,61173.79
2025-07-07,53186.57,402.73,53589.3
2025-07-08,53917.97,600.58,54518.55
2025-07-09,53900.63,305.28,54205.91
