时间段,2025-03-20,2025-06-21,2025-09-23,2025-12-21
0:00-0:10,0.0,0.0,0.0,0.0
0:10-0:20,0.0,0.0,0.0,0.0
0:20-0:30,0.0,0.0,0.0,0.0
0:30-0:40,0.0,0.0,0.0,0.0
0:40-0:50,0.0,0.0,0.0,0.0
0:50-1:00,0.0,0.0,0.0,0.0
1:00-1:10,0.0,0.0,0.0,0.0
1:10-1:20,0.0,0.0,0.0,0.0
1:20-1:30,0.0,0.0,0.0,0.0
1:30-1:40,0.0,0.0,0.0,0.0
1:40-1:50,0.0,0.0,0.0,1.5754
1:50-2:00,0.0,0.0,0.0,0.0
2:00-2:10,0.0,0.0,0.0,0.0
2:10-2:20,0.0,0.0,0.0,0.0
2:20-2:30,0.0,0.0,0.0,4.3043
2:30-2:40,0.0,0.0,0.0,0.0
2:40-2:50,0.0,0.0,0.0,0.0
2:50-3:00,0.0,0.0,0.0,0.0
3:00-3:10,0.0,0.0,0.0,0.0
3:10-3:20,0.0,0.0,0.0,0.0
3:20-3:30,0.0,0.0,0.0,0.0
3:30-3:40,0.0,0.0,0.0,0.0
3:40-3:50,0.0,0.0,0.0,2.3911
3:50-4:00,0.0,0.0,0.0,46.1636
4:00-4:10,0.0,0.0,0.0,0.0
4:10-4:20,0.0,0.0,0.0,0.0
4:20-4:30,0.0,0.0,0.0,0.0
4:30-4:40,0.0,0.0,0.0,0.0
4:40-4:50,0.0,0.0,0.0,0.0
4:50-5:00,0.0,0.0,0.0,0.0
5:00-5:10,0.0,0.0,0.0,0.0
5:10-5:20,0.0,0.0,0.0,0.0
5:20-5:30,0.0,0.0,0.0,0.0
5:30-5:40,0.0,0.0,0.0,0.0
5:40-5:50,0.0,0.0,0.0,0.0
5:50-6:00,0.0,0.0,0.0,21.9399
6:00-6:10,0.0,0.0,0.0,0.0
6:10-6:20,0.0,0.0,0.0,0.0
6:20-6:30,0.0,0.0,0.0,0.0
6:30-6:40,0.0,0.0,0.0,0.0
6:40-6:50,0.0,0.0,0.0,0.0
6:50-7:00,0.0,0.0,0.0,0.0
7:00-7:10,0.0,0.0,0.0,0.0
7:10-7:20,0.0,0.0,0.0,0.0
7:20-7:30,0.0,0.0,0.0,0.0
7:30-7:40,0.0,0.0,0.0,0.0
7:40-7:50,0.0,0.0,0.0,0.0
7:50-8:00,0.0,0.0,0.0,0.0
8:00-8:10,0.0,0.0,0.0,0.0
8:10-8:20,0.0,0.0,0.0,0.0
8:20-8:30,0.0,0.0,0.0,0.0
8:30-8:40,0.0,0.0,0.0,12.2933
8:40-8:50,0.0,0.0,0.0,0.0
8:50-9:00,0.0,0.0,0.0,0.0
9:00-9:10,0.0,0.0,0.0,0.0
9:10-9:20,0.0,0.0,0.0,0.0
9:20-9:30,0.0,0.0,0.0,0.0
9:30-9:40,0.0,0.0,0.0,0.0
9:40-9:50,0.0,0.0,0.0,0.0
9:50-10:00,0.0,0.0,0.0,0.0
10:00-10:10,0.0,0.0,0.0,0.0
10:10-10:20,0.0,0.0,0.0,0.0
10:20-10:30,0.0,0.0,0.0,0.0
10:30-10:40,0.0,0.0,0.0,0.0
10:40-10:50,0.0,0.0,0.0,0.0
10:50-11:00,0.0,0.0,0.0,0.0
11:00-11:10,0.0,0.0,0.0,173.8854
11:10-11:20,0.0,0.0,104.3512,153.8217
11:20-11:30,0.0,0.0,112.6437,162.2157
11:30-11:40,0.0,0.0,505.2971,130.3108
11:40-11:50,0.0,0.0,537.3928,141.9832
11:50-12:00,0.0,0.0,64.593,94.6047
12:00-12:10,0.0,0.0,6.1087,16.2712
12:10-12:20,0.0,0.0,0.0,4.1134
12:20-12:30,0.0,0.0,47.6575,0.0
12:30-12:40,0.0,0.0,116.1033,0.0
12:40-12:50,0.0,0.0,0.0,14.6857
12:50-13:00,0.0,0.0,0.0,90.6748
13:00-13:10,0.0,0.0,0.0,0.0
13:10-13:20,0.0,0.0,0.0,0.0
13:20-13:30,0.0,0.0,0.0,0.0
13:30-13:40,0.0,0.0,0.0,0.0
13:40-13:50,0.0,0.0,0.0,0.0
13:50-14:00,0.0,0.0,0.0,0.0
14:00-14:10,0.0,0.0,0.0,0.0
14:10-14:20,0.0,0.0,0.0,0.0
14:20-14:30,0.0,0.0,0.0,0.0
14:30-14:40,0.0,0.0,0.0,0.0
14:40-14:50,0.0,0.0,0.0,0.0
14:50-15:00,0.0,0.0,0.0,0.0
15:00-15:10,0.0,0.0,10.7355,0.0
15:10-15:20,0.0,0.0,376.6371,0.0
15:20-15:30,0.0,0.0,38.9382,0.0
15:30-15:40,0.0,0.0,17.8029,0.0
15:40-15:50,0.0,0.0,0.0,0.0
15:50-16:00,0.0,0.0,0.0,0.0
16:00-16:10,0.0,0.0,55.8838,0.0
16:10-16:20,0.0,0.0,84.2261,0.0
16:20-16:30,0.0,0.0,88.629,0.0
16:30-16:40,0.0,0.0,62.4025,0.0
16:40-16:50,0.0,0.0,55.9027,0.0
16:50-17:00,0.0,0.0,31.9758,0.0
17:00-17:10,0.0,0.0,11.4254,0.0
17:10-17:20,0.0,0.0,33.6549,0.0
17:20-17:30,0.0,0.0,58.1972,0.0
17:30-17:40,0.0,0.0,15.6275,0.0
17:40-17:50,0.0,0.0,35.6474,0.0
17:50-18:00,0.0,0.0,24.831,0.0
18:00-18:10,0.0,0.0,0.0,0.0
18:10-18:20,0.0,0.0,0.0,0.0
18:20-18:30,0.0,0.0,0.0,0.0
18:30-18:40,0.0,0.0,0.0,0.0
18:40-18:50,0.0,0.0,0.0,0.0
18:50-19:00,0.0,0.0,0.0,0.0
19:00-19:10,13.2067,0.0,0.0,0.0
19:10-19:20,0.0,0.0,0.0,0.0
19:20-19:30,0.0,0.0,0.0,0.0
19:30-19:40,0.0,0.0,0.785,0.0
19:40-19:50,0.0,0.0,0.0,0.0
19:50-20:00,0.0,0.0,0.0,0.0
