day,lam,plan_fee,emerg_fee,total,emerg_kwh
2025-03-20,0.0,42261.52244935223,320.3501770790214,42581.87262643126,58.7418797860111
2025-03-20,0.5,43652.32777143017,197.38668257499967,43849.714454005174,29.281766666666613
2025-03-20,1.0,43714.87922717172,197.38668257499967,43912.26590974672,29.281766666666613
2025-03-20,2.0,43927.407106966966,197.38668257499967,44124.79378954197,29.281766666666613
2025-03-20,5.0,43927.40710696697,197.38668257500274,44124.793789541975,29.281766666667068
2025-06-21,0.0,47902.36467363122,0.0,47902.36467363122,0.0
2025-06-21,0.5,49345.528492643105,0.0,49345.528492643105,0.0
2025-06-21,1.0,49345.52849264312,0.0,49345.52849264312,0.0
2025-06-21,2.0,49345.52849264312,0.0,49345.52849264312,0.0
2025-06-21,5.0,49345.52849264312,0.0,49345.52849264312,0.0
2025-09-23,0.0,40080.91585234494,7895.334986532235,47976.250838877175,2562.568194539089
2025-09-23,0.5,40734.32029254328,5526.621976204016,46260.9422687473,1666.489649214677
2025-09-23,1.0,40734.32029254328,5526.621976204068,46260.94226874735,1666.4896492147045
2025-09-23,2.0,40734.32029254326,5526.621976204139,46260.9422687474,1666.489649214713
2025-09-23,5.0,40734.32029254327,5526.621976204104,46260.94226874737,1666.4896492146993
2025-12-21,0.0,59561.415790865525,2862.677717297621,62424.09350816315,1102.2536127833657
2025-12-21,0.5,60328.729545238726,501.4620931406952,60830.19163837942,148.51343999699185
2025-12-21,1.0,60360.36876053052,434.20273509866524,60794.571495629185,122.2377803609434
2025-12-21,2.0,60360.368760530524,434.2027350988003,60794.57149562932,122.23778036100668
2025-12-21,5.0,60360.368760530495,434.2027350985143,60794.57149562901,122.237780360948
