date,grid_fee,emerg_fee,total
2025-01-01,83877.93,2882.01,86759.94
2025-01-02,98776.11,2944.17,101720.27
2025-01-03,97217.5,0.0,97217.5
2025-01-04,85694.41,0.0,85694.41
2025-01-05,78762.26,4047.95,82810.21
2025-01-06,83121.69,3691.09,86812.77
2025-01-07,88184.6,3003.04,91187.64
2025-01-08,85197.95,2906.84,88104.79
2025-01-09,88410.3,2700.8,91111.1
2025-01-10,86730.74,0.0,86730.74
2025-01-11,85228.31,0.0,85228.31
2025-01-12,86965.19,2368.77,89333.96
2025-01-13,84375.2,1492.94,85868.14
2025-01-14,84834.21,2277.3,87111.51
2025-01-15,87691.19,2503.88,90195.07
2025-01-16,86281.46,3669.4,89950.86
2025-01-17,86257.67,0.0,86257.67
2025-01-18,83274.02,0.0,83274.02
2025-01-19,85615.09,2256.82,87871.91
2025-01-20,85219.78,3350.77,88570.55
2025-01-21,83032.16,1517.39,84549.56
2025-01-22,86734.26,1603.17,88337.42
2025-01-23,86880.24,2412.97,89293.21
2025-01-24,84814.23,0.0,84814.23
2025-01-25,82405.12,0.0,82405.12
2025-01-26,82718.47,1738.55,84457.01
2025-01-27,82992.43,1125.31,84117.74
2025-01-28,84639.5,1681.76,86321.25
2025-01-29,81675.19,1275.71,82950.9
2025-01-30,84424.53,1704.37,86128.9
2025-01-31,84498.71,0.0,84498.71
2025-02-01,78636.09,0.0,78636.09
2025-02-02,78660.19,829.25,79489.44
2025-02-03,80107.85,0.0,80107.85
2025-02-04,82889.88,564.41,83454.29
2025-02-05,82564.94,993.8,83558.75
2025-02-06,80347.05,1352.8,81699.85
2025-02-07,80896.85,0.0,80896.85
2025-02-08,77750.83,0.0,77750.83
2025-02-09,78973.95,133.44,79107.39
2025-02-10,75794.69,11.2,75805.89
2025-02-11,75030.95,157.16,75188.11
2025-02-12,75014.72,61.14,75075.86
2025-02-13,74367.54,52.65,74420.18
2025-02-14,76011.0,0.0,76011.0
2025-02-15,71123.75,0.0,71123.75
2025-02-16,69501.8,0.0,69501.8
2025-02-17,72161.68,0.0,72161.68
2025-02-18,73652.38,0.0,73652.38
2025-02-19,73891.37,0.0,73891.37
2025-02-20,72052.39,0.0,72052.39
2025-02-21,74191.93,0.0,74191.93
2025-02-22,71156.0,0.0,71156.0
2025-02-23,69479.91,0.0,69479.91
2025-02-24,70933.97,0.0,70933.97
2025-02-25,68313.54,0.0,68313.54
2025-02-26,70834.92,0.0,70834.92
2025-02-27,70279.43,0.0,70279.43
2025-02-28,70723.28,0.0,70723.28
2025-03-01,69959.86,0.0,69959.86
2025-03-02,73721.17,0.0,73721.17
2025-03-03,74688.36,0.0,74688.36
2025-03-04,72293.2,0.0,72293.2
2025-03-05,68844.54,0.0,68844.54
2025-03-06,69026.39,0.0,69026.39
2025-03-07,68394.17,0.0,68394.17
2025-03-08,65140.46,0.0,65140.46
2025-03-09,63856.92,0.0,63856.92
2025-03-10,69059.44,0.0,69059.44
2025-03-11,65253.8,0.0,65253.8
2025-03-12,63855.67,0.0,63855.67
2025-03-13,69862.2,0.0,69862.2
2025-03-14,63562.24,0.0,63562.24
2025-03-15,67180.45,0.0,67180.45
2025-03-16,63097.13,0.0,63097.13
2025-03-17,60164.66,0.0,60164.66
2025-03-18,64969.24,0.0,64969.24
2025-03-19,62211.97,0.0,62211.97
2025-03-20,60428.79,0.0,60428.79
2025-03-21,58251.3,0.0,58251.3
2025-03-22,60852.77,0.0,60852.77
2025-03-23,58111.19,0.0,58111.19
2025-03-24,62555.77,0.0,62555.77
2025-03-25,61481.38,0.0,61481.38
2025-03-26,57878.33,112.8,57991.13
2025-03-27,60592.66,0.0,60592.66
2025-03-28,60116.17,0.0,60116.17
2025-03-29,54186.73,0.0,54186.73
2025-03-30,54897.0,0.0,54897.0
2025-03-31,58398.07,59.37,58457.44
2025-04-01,62626.26,0.0,62626.26
2025-04-02,64514.73,0.0,64514.73
2025-04-03,60613.48,0.0,60613.48
2025-04-04,55264.73,0.0,55264.73
2025-04-05,53632.99,74.19,53707.18
2025-04-06,56618.34,0.0,56618.34
2025-04-07,56927.61,117.09,57044.7
2025-04-08,57642.53,0.0,57642.53
2025-04-09,59924.73,0.0,59924.73
2025-04-10,55216.27,0.0,55216.27
2025-04-11,51758.95,0.0,51758.95
2025-04-12,54340.8,0.0,54340.8
2025-04-13,52909.8,27.63,52937.43
2025-04-14,52273.94,0.0,52273.94
2025-04-15,55536.48,53.8,55590.28
2025-04-16,56987.64,0.0,56987.64
2025-04-17,54847.09,0.0,54847.09
2025-04-18,52735.35,0.0,52735.35
2025-04-19,54032.37,136.89,54169.26
2025-04-20,52522.11,416.97,52939.08
2025-04-21,50470.37,53.7,50524.07
2025-04-22,54775.85,191.21,54967.07
2025-04-23,53108.35,477.82,53586.17
2025-04-24,51151.57,0.0,51151.57
2025-04-25,50665.82,0.0,50665.82
2025-04-26,50852.05,98.26,50950.31
2025-04-27,50802.77,462.16,51264.93
2025-04-28,59342.27,0.0,59342.27
2025-04-29,52233.44,364.99,52598.43
2025-04-30,49866.75,843.14,50709.89
2025-05-01,53038.36,117.88,53156.25
2025-05-02,60685.73,0.0,60685.73
2025-05-03,53387.04,150.92,53537.96
2025-05-04,48350.23,963.24,49313.47
2025-05-05,55455.77,0.0,55455.77
2025-05-06,53018.78,614.48,53633.27
2025-05-07,55549.98,458.68,56008.66
2025-05-08,55772.46,0.0,55772.46
2025-05-09,56129.31,0.0,56129.31
2025-05-10,56348.02,111.76,56459.79
2025-05-11,53198.56,1114.56,54313.11
2025-05-12,54078.15,753.49,54831.65
2025-05-13,56265.6,0.0,56265.6
2025-05-14,53503.65,236.42,53740.07
2025-05-15,56579.23,0.0,56579.23
2025-05-16,52811.42,0.0,52811.42
2025-05-17,54238.03,147.58,54385.61
2025-05-18,54404.68,118.03,54522.71
2025-05-19,53069.97,603.23,53673.2
2025-05-20,56383.64,345.73,56729.37
2025-05-21,53732.71,940.62,54673.33
2025-05-22,53848.8,35.45,53884.24
2025-05-23,57931.16,0.0,57931.16
2025-05-24,50970.48,54.87,51025.35
2025-05-25,50876.04,750.69,51626.73
2025-05-26,55953.84,459.91,56413.75
2025-05-27,52808.49,959.63,53768.12
2025-05-28,54490.84,144.4,54635.24
2025-05-29,56974.96,297.38,57272.34
2025-05-30,55479.62,0.0,55479.62
2025-05-31,53904.15,354.32,54258.46
2025-06-01,62359.24,0.0,62359.24
2025-06-02,64767.23,0.0,64767.23
2025-06-03,67716.87,0.0,67716.87
2025-06-04,65305.75,0.0,65305.75
2025-06-05,69281.23,0.0,69281.23
2025-06-06,71074.98,0.0,71074.98
2025-06-07,70222.62,0.0,70222.62
2025-06-08,61541.17,0.0,61541.17
2025-06-09,70175.78,0.0,70175.78
2025-06-10,71880.04,0.0,71880.04
2025-06-11,75994.02,0.0,75994.02
2025-06-12,72929.37,0.0,72929.37
2025-06-13,74946.37,0.0,74946.37
2025-06-14,68598.47,0.0,68598.47
2025-06-15,68729.31,0.0,68729.31
2025-06-16,74675.86,0.0,74675.86
2025-06-17,76026.28,0.0,76026.28
2025-06-18,75179.48,0.0,75179.48
2025-06-19,72439.59,0.0,72439.59
2025-06-20,71500.29,0.0,71500.29
2025-06-21,66011.08,0.0,66011.08
2025-06-22,67522.06,0.0,67522.06
2025-06-23,70088.71,0.0,70088.71
2025-06-24,78020.23,0.0,78020.23
2025-06-25,75374.23,0.0,75374.23
2025-06-26,70800.98,0.0,70800.98
2025-06-27,66120.58,0.0,66120.58
2025-06-28,69014.29,0.0,69014.29
2025-06-29,68074.02,0.0,68074.02
2025-06-30,72974.25,0.0,72974.25
2025-07-01,64596.63,1571.12,66167.75
2025-07-02,58422.17,1447.61,59869.77
2025-07-03,69386.94,0.0,69386.94
2025-07-04,65425.38,0.0,65425.38
2025-07-05,60486.5,250.45,60736.94
2025-07-06,68728.58,1317.31,70045.9
