date,grid,emerg,Q_kwh,costC,cons_err
2025-01-01,45838.9,9495.86,2116.65,94695.04,0.0
2025-01-02,63379.94,3576.92,721.29,94386.29,0.0
2025-01-03,61261.44,0.0,0.0,59969.4,0.0
2025-01-04,48152.69,0.0,0.0,56579.52,0.0
2025-01-05,42369.43,14810.7,3532.5,96970.02,0.0
2025-01-06,46882.33,14549.28,3368.17,96102.02,0.0
2025-01-07,47690.19,9728.84,2268.03,96546.36,0.0
2025-01-08,54988.28,8976.43,1934.16,95049.39,0.0
2025-01-09,51111.81,8731.34,2020.2,95361.12,0.0
2025-01-10,56533.68,0.0,0.0,58190.68,1.5994396519841934e-16
2025-01-11,49494.38,0.0,0.0,56156.32,0.0
2025-01-12,48620.49,11827.52,2850.79,95880.59,0.0
2025-01-13,49946.67,8664.25,2208.86,93214.27,0.0
2025-01-14,49449.64,8649.27,2179.67,94191.88,0.0
2025-01-15,47930.13,9378.79,2109.62,94422.01,0.0
2025-01-16,48215.9,11630.57,2656.53,93455.68,0.0
2025-01-17,49821.02,0.0,0.0,55645.22,0.0
2025-01-18,49790.97,0.0,0.0,55249.02,0.0
2025-01-19,45338.17,10313.68,2479.3,93608.16,0.0
2025-01-20,48199.42,10076.07,2271.19,92888.27,0.0
2025-01-21,48142.17,7664.97,1822.59,89015.47,0.0
2025-01-22,50170.36,8547.65,2059.63,93887.98,0.0
2025-01-23,48054.96,9495.63,2247.34,93735.11,0.0
2025-01-24,46167.0,0.0,0.0,53731.68,0.0
2025-01-25,43333.02,0.0,0.0,52422.32,0.0
2025-01-26,49730.19,8138.83,2004.28,92348.58,0.0
2025-01-27,45047.41,8203.25,2080.66,88016.52,0.0
2025-01-28,48609.13,7704.65,1795.04,92070.87,0.0
2025-01-29,43650.2,8220.97,1982.22,85495.97,0.0
2025-01-30,44393.49,8837.29,2077.72,88443.34,0.0
2025-01-31,45464.14,0.0,0.0,52686.34,0.0
2025-02-01,44016.91,0.0,0.0,51718.33,0.0
2025-02-02,43389.35,6062.67,1458.45,83606.26,0.0
2025-02-03,47391.23,5465.22,1355.21,85197.53,0.0
2025-02-04,49109.43,5759.12,1452.07,87181.85,0.0
2025-02-05,45253.79,6755.48,1613.75,85481.69,0.0
2025-02-06,48865.64,7289.09,1769.69,86122.53,0.0
2025-02-07,46321.71,0.0,0.0,51770.8,0.0
2025-02-08,38418.0,0.0,0.0,48936.58,0.0
2025-02-09,43422.0,5995.73,1540.58,83937.23,0.0
2025-02-10,42497.98,6477.27,1675.71,80064.84,0.0
2025-02-11,43249.64,6218.19,1553.64,82657.86,0.0
2025-02-12,43008.12,6416.57,1625.79,81543.49,0.0
2025-02-13,38934.35,6155.83,1584.79,77265.38,0.0
2025-02-14,40850.57,0.0,0.0,47518.45,0.0
2025-02-15,39138.49,0.0,0.0,48495.65,0.0
2025-02-16,40552.43,7157.04,1905.02,81478.38,0.0
2025-02-17,42213.05,6128.17,1651.09,77296.36,0.0
2025-02-18,37226.92,5322.74,1369.87,76445.52,0.0
2025-02-19,37431.73,7249.91,1928.94,78963.18,0.0
2025-02-20,38717.3,6005.49,1587.54,76933.82,0.0
2025-02-21,37978.22,0.0,0.0,46212.67,0.0
2025-02-22,37171.11,0.0,0.0,46596.54,0.0
2025-02-23,36366.03,6256.51,1694.05,76797.92,0.0
2025-02-24,37412.15,6121.77,1609.03,74070.34,0.0
2025-02-25,38120.1,5903.74,1556.99,73504.66,0.0
2025-02-26,34406.72,5548.07,1437.65,73057.66,0.0
2025-02-27,35060.2,5415.06,1364.23,74579.89,0.0
2025-02-28,35417.56,0.0,0.0,44888.92,0.0
2025-03-01,39440.73,0.0,0.0,46003.68,1.5376874758991923e-16
2025-03-02,38180.58,5011.93,1365.07,77258.31,0.0
