date,plan_fee,emerg_fee,total
2025-01-01,37128.6,173755.29,210883.88
2025-01-02,73526.1,7525.01,81051.12
2025-01-03,57942.72,0.0,57942.72
2025-01-04,56708.87,0.0,56708.87
2025-01-05,74738.75,740.91,75479.67
2025-01-06,74918.55,1763.06,76681.61
2025-01-07,74804.06,2997.81,77801.87
2025-01-08,74089.91,454.86,74544.77
2025-01-09,74359.42,0.0,74359.42
2025-01-10,56654.48,0.0,56654.48
2025-01-11,57374.47,0.0,57374.47
2025-01-12,74838.9,0.0,74838.9
2025-01-13,73878.23,0.0,73878.23
2025-01-14,73840.85,71.62,73912.47
2025-01-15,74429.45,503.54,74932.99
2025-01-16,73610.66,581.78,74192.44
2025-01-17,56775.96,0.0,56775.96
2025-01-18,56015.74,60.14,56075.88
2025-01-19,72889.74,24.63,72914.38
2025-01-20,73628.26,27.75,73656.01
2025-01-21,72046.14,0.0,72046.14
2025-01-22,73534.15,244.31,73778.46
2025-01-23,73159.92,0.0,73159.92
2025-01-24,54185.01,0.0,54185.01
2025-01-25,53124.6,0.0,53124.6
2025-01-26,71714.69,0.0,71714.69
2025-01-27,70914.16,11.54,70925.7
2025-01-28,69970.52,63.93,70034.44
2025-01-29,69426.86,0.0,69426.86
2025-01-30,69595.89,134.15,69730.03
2025-01-31,53720.93,0.0,53720.93
2025-02-01,50569.19,0.0,50569.19
2025-02-02,66376.01,11.36,66387.36
2025-02-03,67682.52,0.0,67682.52
2025-02-04,67732.94,0.0,67732.94
2025-02-05,67395.38,0.0,67395.38
2025-02-06,67520.44,0.0,67520.44
2025-02-07,49364.83,0.0,49364.83
2025-02-08,48067.39,0.0,48067.39
2025-02-09,64780.71,0.0,64780.71
2025-02-10,63437.29,0.0,63437.29
2025-02-11,63515.43,0.0,63515.43
2025-02-12,63094.04,0.0,63094.04
2025-02-13,58280.91,5.05,58285.96
2025-02-14,45645.02,0.0,45645.02
2025-02-15,44985.14,0.0,44985.14
2025-02-16,59182.4,11.86,59194.26
2025-02-17,58827.03,114.32,58941.35
2025-02-18,57602.42,0.0,57602.42
2025-02-19,57505.49,1028.15,58533.64
2025-02-20,57083.63,111.82,57195.45
2025-02-21,42068.45,0.0,42068.45
2025-02-22,43018.2,0.0,43018.2
2025-02-23,53286.46,0.0,53286.46
2025-02-24,56222.32,55.02,56277.34
2025-02-25,52095.13,77.41,52172.54
2025-02-26,53113.32,0.0,53113.32
2025-02-27,51796.47,8.07,51804.53
2025-02-28,39367.46,0.0,39367.46
2025-03-01,37905.89,0.0,37905.89
2025-03-02,50661.08,5434.59,56095.67
2025-03-03,52584.36,15.3,52599.65
2025-03-04,50729.82,0.0,50729.82
2025-03-05,49918.95,10.65,49929.6
2025-03-06,50178.52,0.0,50178.52
2025-03-07,36645.95,0.0,36645.95
2025-03-08,36637.51,0.0,36637.51
2025-03-09,48766.19,182.77,48948.97
2025-03-10,50379.06,365.24,50744.3
2025-03-11,49355.05,0.0,49355.05
2025-03-12,48786.93,124.8,48911.72
2025-03-13,49537.86,493.66,50031.52
2025-03-14,34146.04,0.0,34146.04
2025-03-15,36941.46,0.0,36941.46
2025-03-16,49028.8,0.0,49028.8
2025-03-17,47661.59,176.61,47838.2
2025-03-18,48071.08,0.0,48071.08
2025-03-19,44044.72,0.0,44044.72
2025-03-20,44582.98,186.6,44769.58
2025-03-21,32042.12,0.0,32042.12
2025-03-22,32629.84,0.0,32629.84
2025-03-23,44017.74,0.0,44017.74
2025-03-24,44088.67,2.72,44091.39
2025-03-25,44176.13,69.2,44245.32
2025-03-26,40949.49,0.0,40949.49
2025-03-27,43309.51,0.0,43309.51
2025-03-28,29923.7,0.0,29923.7
2025-03-29,30321.74,0.0,30321.74
2025-03-30,40140.4,48.83,40189.23
2025-03-31,40742.65,0.0,40742.65
2025-04-01,40417.64,116.76,40534.4
2025-04-02,39760.85,595.02,40355.87
2025-04-03,40400.38,61.22,40461.6
2025-04-04,29770.87,0.0,29770.87
2025-04-05,29446.69,0.0,29446.69
2025-04-06,39247.63,0.0,39247.63
2025-04-07,38735.01,0.0,38735.01
2025-04-08,38711.27,63.42,38774.68
2025-04-09,39112.95,0.0,39112.95
2025-04-10,38394.88,121.22,38516.1
2025-04-11,27932.96,0.0,27932.96
2025-04-12,28575.28,0.0,28575.28
2025-04-13,38833.43,0.0,38833.43
2025-04-14,37852.51,4.05,37856.56
2025-04-15,37842.07,3.0,37845.07
2025-04-16,38315.98,15.81,38331.79
2025-04-17,37948.29,5.7,37954.0
2025-04-18,27355.33,0.0,27355.33
2025-04-19,27702.37,0.0,27702.37
2025-04-20,37179.75,10.67,37190.41
2025-04-21,36677.14,0.0,36677.14
2025-04-22,37224.59,5.14,37229.72
2025-04-23,37564.85,0.0,37564.85
2025-04-24,36986.39,0.0,36986.39
