date,grid_fee,emerg_fee,total
2025-01-01,99973.52,3796.75,103770.27
2025-01-02,117928.42,3654.26,121582.67
2025-01-03,92436.57,0.0,92436.57
2025-01-04,79620.47,184.77,79805.24
2025-01-05,93443.78,5985.41,99429.19
2025-01-06,97732.5,6158.77,103891.27
2025-01-07,103275.47,4075.04,107350.51
2025-01-08,100330.45,4134.82,104465.27
2025-01-09,104750.37,3427.29,108177.66
2025-01-10,80348.88,0.0,80348.88
2025-01-11,79865.02,163.12,80028.15
2025-01-12,102745.12,2942.22,105687.34
2025-01-13,98895.57,1870.23,100765.8
2025-01-14,99858.51,2881.7,102740.21
2025-01-15,103553.9,3221.23,106775.13
2025-01-16,100972.94,4881.11,105854.05
2025-01-17,79700.26,0.0,79700.26
2025-01-18,77117.74,225.89,77343.63
2025-01-19,100488.57,3043.64,103532.21
2025-01-20,99729.24,4387.26,104116.5
2025-01-21,95675.85,1842.87,97518.73
2025-01-22,101937.6,2063.72,104001.32
2025-01-23,102927.22,3064.19,105991.41
2025-01-24,77024.31,0.0,77024.31
2025-01-25,74544.34,52.86,74597.2
2025-01-26,97376.32,2309.36,99685.68
2025-01-27,96229.51,1343.28,97572.79
2025-01-28,98239.16,2064.12,100303.28
2025-01-29,92478.75,1634.46,94113.21
2025-01-30,96638.15,2129.62,98767.77
2025-01-31,76868.13,0.0,76868.13
2025-02-01,66647.43,63.38,66710.81
2025-02-02,84796.74,981.27,85778.01
2025-02-03,87809.35,0.0,87809.35
2025-02-04,90954.41,676.91,91631.32
2025-02-05,90623.36,1299.53,91922.89
2025-02-06,87731.39,1653.71,89385.1
2025-02-07,67407.19,0.0,67407.19
2025-02-08,65154.97,5.29,65160.26
2025-02-09,85740.92,152.54,85893.46
2025-02-10,80098.19,149.94,80248.13
2025-02-11,80111.2,180.67,80291.87
2025-02-12,79721.61,69.72,79791.32
2025-02-13,78271.32,60.69,78332.01
2025-02-14,62562.49,0.0,62562.49
2025-02-15,59001.67,76.28,59077.95
2025-02-16,74122.84,0.0,74122.84
2025-02-17,76588.89,113.98,76702.87
2025-02-18,77471.97,0.0,77471.97
2025-02-19,77549.19,124.43,77673.62
2025-02-20,76055.73,0.0,76055.73
2025-02-21,60141.66,0.0,60141.66
2025-02-22,58597.18,149.3,58746.48
2025-02-23,73307.5,0.0,73307.5
2025-02-24,74393.33,459.58,74852.91
2025-02-25,70727.94,0.0,70727.94
2025-02-26,74970.03,0.0,74970.03
2025-02-27,72093.02,0.0,72093.02
2025-02-28,56310.76,0.0,56310.76
2025-03-01,56076.23,54.84,56131.07
2025-03-02,77701.01,195.97,77896.98
2025-03-03,78005.48,0.0,78005.48
2025-03-04,74755.56,309.12,75064.67
2025-03-05,70799.82,153.29,70953.12
2025-03-06,71148.06,0.0,71148.06
2025-03-07,54457.22,0.0,54457.22
2025-03-08,49749.66,47.37,49797.03
2025-03-09,64032.92,0.0,64032.92
2025-03-10,72373.52,134.43,72507.95
2025-03-11,66631.21,0.0,66631.21
2025-03-12,65113.33,0.0,65113.33
2025-03-13,71839.04,0.0,71839.04
2025-03-14,49870.56,0.0,49870.56
2025-03-15,52010.59,154.06,52164.65
2025-03-16,65336.36,592.45,65928.82
2025-03-17,59425.16,435.52,59860.68
2025-03-18,65330.49,0.0,65330.49
